Crop,Soil_Type,Soil_Moisture,Temperature,Humidity,Rainfall,Nitrogen,Phosphorus,Potassium,pH,Area_Hectare,Irrigation_Hours,Yield_Ton_Per_Hectare
Tomato,Black,45.1,27.1,67.1,770.2,82.5,67.5,39.7,5.91,1.86,1.8,25.1
Potato,Alluvial,44.5,13.8,51.4,259.7,41.6,99.0,120.4,4.28,1.83,1.1,16.23
Potato,Black,43.7,22.8,95.0,602.5,123.7,69.7,85.0,6.26,1.43,1.4,21.79
Sugarcane,Sandy,58.4,29.0,42.1,1287.3,136.6,100.5,68.1,5.39,0.8,3.8,67.31
Potato,Black,58.1,20.6,71.2,22.5,136.9,80.5,111.8,6.03,5.63,2.5,19.84
Cotton,Loamy,22.8,19.6,31.9,155.8,119.1,31.9,61.9,8.04,9.3,3.2,1.65
Cotton,Sandy,31.4,26.5,43.4,211.2,124.4,77.1,48.2,7.8,1.64,3.5,1.84
Tomato,Clay,54.4,35.5,20.7,642.3,112.6,64.0,92.3,4.71,9.12,1.8,23.31
Sugarcane,Loamy,50.4,22.0,73.7,1671.0,134.1,80.3,62.4,7.27,8.17,3.7,66.36
Wheat,Alluvial,37.9,10.3,64.4,734.8,120.2,55.3,5.0,6.16,1.64,2.5,3.09
Wheat,Red,33.1,20.8,47.3,382.7,152.6,80.1,29.0,6.43,3.78,3.4,3.35
Cotton,Loamy,75.4,12.5,48.6,654.8,60.3,36.6,46.6,8.12,9.84,3.7,1.56
Wheat,Loamy,27.2,17.5,61.5,486.4,73.5,61.4,13.4,6.88,7.06,2.6,3.03
Maize,Clay,35.9,21.4,72.2,300.0,146.8,86.1,5.0,6.35,1.38,0.8,2.73
Maize,Alluvial,59.4,26.4,63.8,812.6,119.6,64.6,47.3,5.63,0.55,2.4,2.68
Maize,Clay,28.6,29.3,45.4,955.8,174.8,43.6,64.1,6.53,6.75,1.3,2.57
Potato,Red,39.0,11.5,58.8,588.7,128.3,96.5,100.3,6.66,5.98,0.6,18.79
Maize,Black,76.6,27.2,33.3,621.0,149.8,70.1,36.8,6.47,5.75,2.5,2.76
Tomato,Loamy,37.9,18.2,58.3,40.7,69.8,37.6,61.3,7.41,2.91,1.3,21.06
Wheat,Alluvial,27.7,33.1,73.6,453.7,129.1,65.1,40.6,7.2,5.26,2.6,3.19
Potato,Black,49.3,24.1,48.4,438.4,105.4,81.6,150.0,4.01,3.22,1.6,18.7
Rice,Black,61.5,35.7,61.0,779.7,78.5,63.6,31.7,6.17,0.99,5.9,4.18
Sugarcane,Alluvial,63.1,22.1,83.9,1274.4,128.0,58.4,56.6,5.87,7.04,2.5,64.51
Wheat,Sandy,22.3,29.3,91.8,985.6,74.4,50.3,71.7,5.93,0.64,1.8,3.04
